Date	index	open	high	low	close	weighted_price	high_low_spread	midquote_price	effective_spread	7_trailing	7_next_trailing	volume_btc	volume_currency
2016-06-19	201	756.35	766.71	742.6	763.92	755.67	24.11	12.06	1503.73	92.00675	-131.58	16016.907715640002	12091972.22
2016-06-20	202	762.46	765.44	718.05	723.47	744.71	47.39	23.69	1399.55	18.41525	-64.22775	27457.17525451	20429715.87
2016-06-21	203	722.39	727.36	628.77	667.17	674.71	98.6	49.3	1235.73	-18.25375	-19.64325	80086.83455946	54027895.08
2016-06-22	204	666.29	679.22	581.88	603.5	639.39	97.34	48.67	1109.65	-92.9485	35.69075	49122.8147001	31373557.92
2016-06-23	205	602.88	634.41	413.6	626.55	592.32	220.81	110.41	1032.3	-140.08825	44.68225	60885.61339457	36039575.11
2016-06-24	206	626.29	706.62	625.64	667.46	661.11	80.98	40.49	1253.94	-81.67925	8.67425	51492.165192739994	34046294.71
2016-06-25	207	667.22	694.56	643.41	668.05	673.99	51.15	25.57	1284.96	-88.34925	34.73175	21927.15875495	14766442.1
2016-06-26	208	667.61	670.0	616.3	632.34	638.4	53.7	26.85	1210.98	-131.58	27.0025	20361.36776281	12971185.68
2016-06-27	209	632.35	660.04	624.04	659.24	642.37	36.0	18.0	1282.48	-64.22775	20.6205	27887.05180416	17876243.85
2016-06-28	210	659.79	664.05	637.27	647.52	649.08	26.78	13.39	1268.27	-19.64325	21.5345	28558.97325419	18504324.39
2016-06-29	211	646.62	646.99	622.81	639.19	634.88	24.18	12.09	1254.19	35.69075	37.51275	57756.96629462	36715361.84
2016-06-30	212	638.73	674.1	633.25	671.24	660.74	40.86	20.43	1301.61	44.68225	-31.221	36733.989875269996	24309808.1
2016-07-01	213	670.92	687.42	664.75	676.13	677.39	22.67	11.34	1329.59	8.67425	-9.541	30645.16674271	20765738.07
2016-07-02	214	676.2	703.87	675.22	702.78	690.99	28.65	14.33	1376.92	34.73175	-50.6675	18765.3717535	12967783.51
2016-07-03	215	703.27	703.9	647.8	659.34	673.35	56.1	28.05	1262.58	27.0025	-9.0	21341.833158399997	14358343.5
2016-07-04	216	659.9	683.8	645.76	679.86	671.55	38.03	19.01	1321.7	20.6205	-29.37025	15093.975424799999	10139542.58
2016-07-05	217	680.25	682.67	661.68	669.06	672.78	21.0	10.5	1317.12	21.5345	-4.075	13347.812275969998	8985273.41
2016-07-06	218	669.26	680.54	665.26	676.7	673.76	15.28	7.64	1338.12	37.51275	-21.7	13584.648315179998	9151827.42
2016-07-07	219	677.14	680.96	609.85	640.02	638.25	71.11	35.56	1208.92	-31.221	20.945	40689.93104313	26027783.18
2016-07-08	220	640.38	667.83	636.23	666.59	649.07	31.6	15.8	1301.58	-9.541	-1.349	23681.18942924	15368606.25
2016-07-09	221	666.61	666.91	620.35	652.12	649.24	46.56	23.28	1257.67	-50.6675	12.075	53106.536492579995	34511687.44
2016-07-10	222	652.04	654.1	640.01	650.34	647.57	14.09	7.04	1286.6	-9.0	28.7575	26108.30657093	16911095.52
2016-07-11	223	650.96	662.31	644.59	650.49	651.47	17.72	8.86	1283.26	-29.37025	23.445	13197.84595909	8605331.59
2016-07-12	224	650.54	676.02	647.37	664.98	660.6	28.65	14.32	1301.32	-4.075	8.8355	29816.59408391	19653867.97
2016-07-13	225	664.77	670.04	653.69	655.0	662.87	16.36	8.18	1293.64	-21.7	11.82525	54755.55611186	36349038.23
2016-07-14	226	653.92	664.7	648.02	660.96	659.52	16.68	8.34	1305.24	20.945	4.7425	18348.53672298	12098653.7
2016-07-15	227	660.87	669.22	659.56	665.24	664.63	9.66	4.83	1320.83	-1.349	-13.465	21584.206198199998	14340052.65
2016-07-16	228	665.42	668.26	658.81	664.19	664.14	9.45	4.72	1318.94	12.075	-7.508	7581.599398140001	5037308.69
2016-07-17	229	664.16	681.3	662.82	679.1	672.8	18.47	9.24	1339.73	28.7575	-17.1885	11113.16801605	7473842.95
2016-07-18	230	678.46	683.62	667.65	673.94	676.73	15.97	7.99	1331.9	23.445	-19.106	16053.633605970002	10857066.54
2016-07-19	231	673.84	676.33	666.57	673.82	671.99	9.76	4.88	1337.88	8.8355	-21.508	8041.058744150001	5404543.32
2016-07-20	232	674.01	675.18	661.9	666.83	668.89	13.28	6.64	1320.37	11.82525	-11.0105	10540.83767968	7050077.86
2016-07-21	233	666.97	668.19	660.14	665.7	664.99	8.05	4.03	1323.35	4.7425	-10.165	10007.77511594	6654829.42
2016-07-22	234	665.35	668.26	645.69	651.78	657.9	22.57	11.29	1280.98	-13.465	4.545	17628.47139967	11603060.34
2016-07-23	235	651.33	658.81	648.75	656.68	654.53	10.05	5.03	1303.32	-7.508	-1.447	17575.91143609	11505235.17
2016-07-24	236	656.71	666.07	652.75	661.91	658.69	13.33	6.66	1310.5	-17.1885	-34.819	16345.1650437	10742375.36
2016-07-25	237	661.02	663.4	652.69	654.83	656.66	10.71	5.35	1298.95	-19.106	-49.71625	11818.15523328	7761931.35
2016-07-26	238	655.45	658.09	644.63	652.31	652.45	13.46	6.73	1291.16	-21.508	-112.8125	14627.27530867	9549458.99
2016-07-27	239	652.38	660.58	647.39	655.81	654.44	13.19	6.6	1298.44	-11.0105	-87.46225	17774.38992465	11630395.78
2016-07-28	240	656.14	659.46	653.14	655.54	656.26	6.32	3.16	1304.75	-10.165	-73.66175	7313.8193358	4801106.85
2016-07-29	241	655.86	658.58	652.36	656.32	655.7	6.22	3.11	1306.42	4.545	-79.5325	7578.98632556	4972500.78
2016-07-30	242	656.43	658.21	652.37	655.24	655.67	5.84	2.92	1304.64	-1.447	-64.598	4655.3465588300005	3055390.64
2016-07-31	243	654.57	655.61	621.58	627.09	635.42	34.02	17.01	1220.16	-34.819	-32.7125	21637.36378223	13764689.9
